INDEX,YEAR,MN,HR,DT,SLP,MSLP,DBT,WBT,DPT,RH,VP,DD,FFF,AW,VV,Cl,A,Cm,A,Ch,A,Dl,Dm,Dh,TC,h,c,a,Ht,RF,EVP,,
43003,2010,1,0,16,1014.8,1016.5,24.8,20.2,17.4,64,19.9,5,6,  ,95,0,0,3,1,0,0,0,9,0,1,9,3,931,3,1,60, ,   
43003,2010,1,0,17,1015.7,1017.4,19.2,18,17.2,88,19.6,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,18,1010.9,1016.6,17.4,15.6,14.3,82,16.3,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,19,1012.8,1014.5,18.8,17.2,16.1,84,18.3,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,20,1011.7,1013.4,19.8,16.6,14.3,71,16.3,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,21,1012.2,1013.9,22,17,13.4,58,15.4,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,22,1011,1012.7,19.4,16.6,14.6,74,16.6,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,23,1011.6,1013.3,17.4,15.8,14.6,84,16.6,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,24,1010.9,1012.6,21.6,19.6,18.4,82,21.1,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,25,1010.4,1012.1,17.4,16,15,86,17,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,26,1011.5,1013.2,20.8,15,10.1,50,12.3,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,27,1011,1012.7,20,16,13,64,15,0,0,  ,95,0,0,3,2,0,0,0,9,0,2,9,3,932,3,2,60, ,   
43003,2010,1,0,28,1011.2,1012.9,19.4,16.2,13.8,70,15.8,0,0,  ,95,5,2,3,3,0,0,9,9,0,5,5,6,562,6,2,20, ,   
43003,2010,1,0,29,1012.3,1014,18,15.4,13.4,75,15.4,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,30,1011.9,1013.6,19.6,16.4,14.1,70,16.1,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,31,1012,1013.7,19,17,15.6,81,17.7,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,12,1,1011,1012.7,23,17.4,13.4,55,15.4,0,0,3,95,0,0,3,6,0,0,0,9,0,6,9,3,936,3,6,60, ,   
43003,2010,1,12,2,1011.8,1013.5,23.8,19.4,16.6,64,18.9,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,12,3,1013.7,1015.4,24.8,21.8,20.2,76,23.7,32,6,2,95,5,3,0,0,0,0,9,0,0,3,5,6,563,6,3,20, ,   
43003,2010,1,12,4,1013.7,1015.4,22.4,19.2,17.2,72,19.6,36,4,4,95,0,0,3,1,1,1,0,9,9,2,9,3,931,3,1,60, ,   
43003,2010,1,12,5,1011.2,1012.9,20.2,18.6,17.6,85,20.1,0,0,4,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,12,6,1009.9,1011.6,23.6,18.8,15.7,61,17.8,5,6,3,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,12,7,1010.2,1011.9,24,18,13.8,53,15.8,9,8,4,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,12,8,1011.7,1013.4,23.8,18,14,54,16,0,0,3,95,0,0,0,0,1,2,0,0,9,2,9,0,902,0,2,75, ,   
43003,2010,1,12,9,1011.5,1013.2,22.6,17.4,13.7,57,15.7,0,0,3,95,0,0,3,4,0,0,0,9,0,4,9,3,934,3,4,60, ,   
43003,2010,1,12,10,1011.7,1013.4,22.4,17.4,13.8,58,15.8,0,0,2,95,0,0,3,4,0,0,0,9,0,4,9,3,934,3,4,60, ,   
43003,2010,1,12,11,1011.5,1013.2,22.4,19.2,17.2,72,19.6,0,0,1,95,0,0,3,4,0,0,0,9,0,4,9,3,934,3,4,60, ,   
43003,2010,1,12,12,1013,1014.7,24.8,22.6,21.5,82,25.6,36,2,2,95,0,0,3,1,1,1,0,9,9,2,9,3,931,3,1,60, ,   
43003,2010,1,12,13,1015.7,1017.4,21,17,14.1,65,16.1,0,0,4,95,0,0,0,0,1,2,0,0,9,2,9,0,902,0,2,75, ,   
43003,2010,1,12,14,1016.2,1017.9,16,13.2,10.8,71,12.9,0,0,4,95,0,0,3,1,1,1,0,9,9,2,9,3,931,3,1,60, ,   
43003,2010,1,12,15,1015.9,1017.6,24,17.4,12.5,49,14.5,11,8,3,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,12,16,1017,1018.7,25.4,20.4,17.4,61,19.9,9,12,4,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,12,17,1017.5,1019.2,20.8,18.4,16.9,78,19.3,0,0,2,95,5,1,0,0,0,0,9,0,0,1,5,6,561,6,1,20, ,   
43003,2010,1,12,18,1016.8,1018.5,22.6,20,18.5,78,21.3,9,6,3,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,12,19,1014.3,1018,19,17.6,16.7,86,19,0,0,3,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,12,20,1014.2,1015.9,22.4,17.4,13.8,58,15.8,9,5,9,96,5,1,3,1,1,1,9,9,9,3,5,6,561,6,1,20, ,   
43003,2010,1,12,21,1014.1,1015.8,24,17.4,12.5,49,14.5,5,6,3,95,0,0,3,1,0,0,0,9,0,1,9,3,931,3,1,60, ,   
43003,2010,1,12,22,1013.7,1015.4,21.6,17,13.7,61,15.7,5,2,3,95,5,1,3,1,1,1,9,9,9,3,5,6,561,6,1,20, ,   
43003,2010,1,12,23,1013.8,1015.5,20,16.6,14.1,69,16.1,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,12,24,1012.6,1014.3,20.2,18,16.6,80,18.9,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,12,25,1012.2,1013.9,18.8,16,13.9,73,15.9,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,12,26,1013.8,1015.5,23.8,16,9.5,40,11.9,9,6,3,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,12,27,1014,1015.7,24.2,17,11.5,45,13.6,9,6,3,95,0,0,3,5,0,0,0,9,0,5,9,3,935,3,5,60, ,   
43003,2010,1,12,28,1013.6,1015.3,21.4,17,13.8,62,15.8,5,4,2,95,5,2,3,3,0,0,9,9,0,5,5,6,562,6,2,20, ,   
43003,2010,1,12,29,1014.4,1016.1,19,16.2,14.2,94,16.2,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,12,30,1013.9,1015.6,22,17.4,14,60,16,0,0,3,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,12,31,1013.2,1014.9,20.2,17.6,15.9,76,18.1,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,1,1011.1,1012.7,29.4,20.4,14.6,41,16.6,9,6,  ,95,8,2,3,4,0,0,9,9,0,6,5,6,561,6,1,20, ,   
43003,2010,1,24,2,1012.1,1013.8,31.2,21.4,15.4,39,17.5,9,8,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,3,1013.4,1015.1,29.6,23,19.5,55,22.7,36,4,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,4,1013.2,1014.9,27.6,21,17.1,53,19.5,32,6,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,5,1010.6,1012.3,28,21,16.8,51,19.1,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,6,1010.1,1011.8,29.2,21.2,16.4,46,18.6,5,6,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,7,1011.5,1013.2,30,20.4,14.2,38,16.2,9,14,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,8,1012.2,1013.9,30,19.4,11.9,33,13.9,14,12,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,9,1012.4,1014.1,29,19.4,12.7,37,14.7,9,12,  ,95,0,0,3,2,0,0,0,9,0,2,9,3,932,3,2,60, ,   
43003,2010,1,24,10,1011.9,1013.6,28.8,19.8,13.8,40,15.8,5,8,  ,95,0,0,3,3,0,0,0,9,0,3,9,3,933,3,3,60, ,   
43003,2010,1,24,11,1011.9,1013.6,31,21.4,15.5,39,17.6,9,8,  ,95,5,3,0,0,0,0,9,0,0,3,5,6,563,6,3,20, ,   
43003,2010,1,24,12,1013.7,1015.4,29.2,22.8,19.4,55,22.5,27,8,  ,95,5,1,0,0,1,2,9,0,9,3,5,6,561,6,1,20, ,   
43003,2010,1,24,13,1016,1017.7,27.4,17.8,10.4,35,12.6,14,6,  ,95,0,0,0,0,1,4,0,0,9,4,9,0,904,0,4,75, ,   
43003,2010,1,24,14,1016.4,1018.1,27,17.2,9.3,33,11.7,36,6,  ,95,0,0,3,1,1,1,0,9,9,2,9,3,931,3,1,60, ,   
43003,2010,1,24,15,1016.1,1017.7,30.2,21,15.3,40,17.4,14,6,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,16,1017.4,1019.1,31,23,18.7,48,21.6,7,14,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,17,1018,1019.6,31.4,21.2,14.8,37,16.8,5,8,  ,96,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,18,1017.1,1018.8,28.4,20,14.5,43,16.5,2,8,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,19,1014.1,1015.7,29.4,21,15.9,44,18.1,2,12,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,20,1015,1016.6,29.4,19.4,12.9,36,14.9,9,8,  ,95,5,2,3,1,0,0,9,9,0,3,5,6,562,6,2,20, ,   
43003,2010,1,24,21,1014.4,1016,31.6,19.4,10.4,27,12.6,14,8,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,22,1014.4,1016,30.4,18.8,10,28,12.3,5,4,  ,96,0,0,3,1,1,1,0,9,9,2,9,3,931,3,1,60, ,   
43003,2010,1,24,23,1014.1,1015.8,29.8,19.4,12.1,33,14.1,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,24,1012.7,1014.4,29,20.4,14.9,42,16.9,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,25,1013.6,1015.3,29.6,19,11.3,32,13.4,2,6,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,26,1014.4,1016.1,30.8,19.8,12.1,32,14.1,14,12,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,27,1014.1,1015.8,29.4,19.4,12.4,35,14.4,9,6,  ,95,0,0,3,4,0,0,0,9,0,4,9,3,934,3,4,60, ,   
43003,2010,1,24,28,1014.9,1016.6,30.4,18.8,10,28,12.3,5,2,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,29,1014.9,1016.6,30.4,19.4,11.5,31,13.6,5,6,  ,96,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,30,1014,1015.7,31,19.4,11,29,13.2,5,6,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,24,31,1013.2,1014.8,31.4,20.4,13,33,15,0,0,  ,94,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,1,1007.6,1009.2,32.6,23,17.7,41,20.2,27,10,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,2,1009.7,1011.3,34.4,23.4,17.6,36,19.7,18,12,  ,95,0,0,0,0,1,1,0,0,9,1,9,0,901,0,1,75, ,   
43003,2010,1,36,3,1010.8,1012.5,31.4,24.6,21.3,55,25.3,32,8,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,4,1009.9,1011.5,28.6,22.4,19,56,22,34,12,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,5,1007.6,1009.2,30.4,23.4,19.8,53,23.1,27,12,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,6,1007.3,1008.9,32.4,22.4,16.6,39,18.9,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,7,1008.4,1010,33.2,20.4,11.5,27,13.6,14,6,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,8,1009.2,1010.8,31.6,21.6,15.5,38,17.6,32,6,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,9,1009.1,1010.7,31.2,20.4,13.2,33,15.2,5,6,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,10,1008.8,1010.4,32.6,21.4,14.4,33,16.4,5,6,  ,95,0,0,3,4,0,0,0,9,0,4,9,3,934,3,4,60, ,   
43003,2010,1,36,11,1009.2,1010.8,30.8,23.8,20.3,53,23.8,32,6,  ,95,5,3,3,1,0,0,9,9,0,4,5,6,563,6,3,20, ,   
43003,2010,1,36,12,1011.3,1013,29.4,23.8,21,61,24.9,27,12,  ,95,0,0,0,0,1,1,0,0,9,1,9,0,901,0,1,75, ,   
43003,2010,1,36,13,1013.4,1015.1,28.4,18.2,10.4,33,12.6,36,10,  ,95,0,0,3,1,1,2,0,9,9,3,9,3,931,3,1,60, ,   
43003,2010,1,36,14,1013.5,1015.1,29.4,20.4,14.6,41,16.6,32,12,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,15,1013.1,1014.8,31.6,23,18.3,45,21,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,16,1014.4,1016,33.4,21,12.8,29,14.8,34,6,  ,96,8,3,3,1,0,0,9,9,0,4,5,6,561,6,1,20, ,   
43003,2010,1,36,17,1014.5,1016.1,32.6,20,11,27,13.1,34,18,  ,96,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,18,1013.1,1014.7,30,22.4,18.2,49,20.9,2,6,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,19,1011.2,1012.8,33,21.4,14,33,16,9,6,  ,95,1,1,0,0,0,0,9,0,0,1,5,8,581,8,1,20, ,   
43003,2010,1,36,20,1012,1013.6,33.2,20.8,12.5,28,14.5,18,6,  ,95,0,0,0,0,1,2,0,0,9,2,9,0,902,0,2,75, ,   
43003,2010,1,36,21,1011.2,1012.8,32.4,21.4,14.5,34,16.5,27,12,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,22,1011.4,1013,31.8,22,16.2,39,18.4,29,10,  ,96,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,23,1010.7,1012.3,31.4,21.2,14.8,37,16.8,29,8,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,24,1009.5,1011.1,30.6,21.8,16.6,43,18.9,29,10,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,25,1010.3,1011.9,31.4,22.2,16.9,42,19.3,32,8,  ,95,8,2,0,0,0,0,9,0,0,2,5,6,561,6,1,20, ,   
43003,2010,1,36,26,1010.7,1012.3,34,21.2,12.8,28,14.8,29,8,  ,96,0,0,0,0,1,1,0,0,9,1,9,0,901,0,1,75, ,   
43003,2010,1,36,27,1011.4,1013.1,29.4,21,15.9,44,18.1,32,12,  ,95,8,4,3,2,0,0,9,9,0,6,5,6,563,6,3,20, ,   
43003,2010,1,36,28,1011.4,1013,32.6,19.4,9.4,24,11.8,27,6,  ,95,0,0,3,1,0,0,0,9,0,1,9,3,931,3,1,60, ,   
43003,2010,1,36,29,1011.7,1013.4,31.6,21.2,14.7,36,16.7,32,8,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,30,1011,1012.6,34.4,21,11.9,26,13.9,5,6,  ,96,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,36,31,1011,1012.7,30.6,22.6,18.2,48,20.9,32,12,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,1,1008,1009.6,29,21.4,16.9,48,19.3,32,10,6,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,2,1010.2,1011.9,30,23.2,19.6,54,22.8,27,6,7,95,0,0,3,2,0,0,0,9,0,2,9,3,932,3,2,60, ,   
43003,2010,1,48,3,1011,1012.7,26.4,22,19.6,66,22.8,34,12,7,95,0,0,0,0,1,2,0,0,9,2,9,0,902,0,2,75, ,   
43003,2010,1,48,4,1009.2,1010.8,26.6,21,17.7,58,20.2,34,12,9,95,0,0,0,0,1,1,0,0,9,1,9,0,901,0,1,75, ,   
43003,2010,1,48,5,1007.2,1008.8,28,22,18.7,57,21.6,32,10,6,95,0,0,0,0,1,1,0,0,9,1,9,0,901,0,1,75, ,   
43003,2010,1,48,6,1006.9,1008.5,29,23,19.9,58,23.2,32,6,6,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,7,1008.6,1010.2,29,22.4,18.8,54,21.7,32,8,8,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,8,1008.8,1010.4,27.8,21.4,17.7,54,20.2,32,10,7,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,9,1008.3,1009.9,30,20,13.3,36,15.3,34,10,6,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,10,1008.6,1010.2,29.8,22,17.6,48,30.1,0,0,5,95,0,0,3,2,0,0,0,9,0,2,9,3,932,3,2,60, ,   
43003,2010,1,48,11,1008.8,1010.4,29.8,23,19.4,54,22.5,27,6,5,95,8,3,3,2,1,1,9,9,9,6,5,6,562,6,2,20, ,   
43003,2010,1,48,12,1011.4,1013.1,27.2,22.6,20.2,65,23.7,27,8,8,95,5,2,3,1,0,0,9,9,0,3,5,6,562,6,2,20, ,   
43003,2010,1,48,13,1013.2,1014.9,26.4,17.4,10.4,37,12.6,36,10,9,95,0,0,5,2,1,2,0,9,9,4,9,3,932,3,2,60, ,   
43003,2010,1,48,14,1012.3,1013.9,28,20.4,15.7,47,17.8,32,10,6,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,15,1013.2,1014.9,29,21.8,17.7,51,20.2,34,10,6,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,16,1014,1015.6,32,23.4,18.8,46,21.7,34,8,8,95,5,1,3,1,0,0,9,9,0,2,5,6,561,6,1,20, ,   
43003,2010,1,48,17,1014.1,1015.8,31,20,12.4,32,14.4,34,22,10,97,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,18,1012.2,1013.8,27.6,21.6,18.2,57,20.9,32,12,8,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,19,1010,1011.6,30.4,20.6,14.3,38,16.3,36,6,6,95,0,0,0,0,1,1,0,0,9,1,9,0,901,0,1,75, ,   
43003,2010,1,48,20,1011.8,1013.4,30.6,20.2,13.2,35,15.2,32,6,5,95,5,2,3,1,0,0,9,9,0,3,5,6,562,6,2,20, ,   
43003,2010,1,48,21,1010.4,1012,29,22.2,18.4,53,21.1,32,6,7,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,22,1010.8,1012.4,29.6,21.2,16.1,44,18.3,32,6,6,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,23,1010.5,1012.1,29,19,11.8,35,13.8,29,8,6,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,24,1009.9,1011.5,28.2,21.2,17.1,51,19.5,29,8,5,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,25,1009.8,1011.4,28.8,20,14.2,41,16.2,32,10,6,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,26,1010.2,1011.9,30.4,20,12.9,34,14.9,29,6,6,95,0,0,3,2,0,0,0,9,0,2,9,3,932,3,2,60, ,   
43003,2010,1,48,27,1010.9,1012.6,29.8,20.4,14.3,39,16.3,32,6,7,95,5,1,3,2,1,2,9,9,9,5,5,6,561,6,1,20, ,   
43003,2010,1,48,28,1011,1012.7,29.6,20,13.6,43,15.6,32,6,6,95,1,1,0,0,0,0,9,0,0,1,5,8,581,8,1,20, ,   
43003,2010,1,48,29,1011.2,1012.9,29.4,20.4,14.6,41,16.6,32,8,6,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,30,1011.2,1012.9,29.4,20.8,15.5,43,17.6,34,6,7,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,48,31,1011,1012.7,30.8,21,14.8,38,16.8,32,6,6,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,60,1,1010.2,1011.9,26.6,20.6,17,56,19.4,32,8,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,60,2,1012.5,1014.2,27.4,22.8,20.4,66,24,0,0,  ,95,0,0,3,2,0,0,0,9,0,2,9,3,932,3,2,60, ,   
43003,2010,1,60,3,1012.9,1014.6,25.8,21.4,18.9,66,21.8,36,6,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,60,4,1011,1012.7,24.4,21.2,19.4,74,22.5,34,10,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,60,5,1009,1010.7,25,22,20.4,76,24,36,8,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,60,6,1008.6,1010.3,26,21,18.1,62,20.8,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,60,7,1010.7,1012.4,25.6,21,18.4,64,21.1,34,6,  ,95,0,0,3,2,0,0,0,9,0,2,9,3,932,3,2,60, ,   
43003,2010,1,60,8,1010.9,1012.6,25.4,19.4,15.5,54,17.6,34,6,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,60,9,1010.8,1012.5,26,20,16.3,55,18.5,36,8,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,60,10,1010.7,1012.4,26.6,20.6,17,56,19.4,5,6,  ,95,0,0,3,2,0,0,0,9,0,2,9,3,932,3,2,60, ,   
43003,2010,1,60,11,1011.1,1012.8,26.4,23.4,21.9,77,26.3,36,6,  ,95,5,2,0,0,1,1,9,0,9,3,5,6,562,6,2,20, ,   
